Image,True_WNID,True_Label,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11
Image_74,n01629819,"European fire salamander, Salamandra salamandra",0.05653931945562363,-0.039698220789432526,-0.03925427794456482,0.05256418511271477,0.11174101382493973,0.1796301007270813,0.243606299161911,0.32190603017807007,0.4769156575202942,0.8079513907432556,0.9445123672485352,0.9867661595344543
Image_75,n01629819,"European fire salamander, Salamandra salamandra",0.10047679394483566,0.028509072959423065,0.005099758505821228,0.038457345217466354,0.08992673456668854,0.1534358263015747,0.21091806888580322,0.31603074073791504,0.4629022479057312,0.8104239702224731,0.9178966283798218,0.9900521039962769
Image_76,n01629819,"European fire salamander, Salamandra salamandra",0.054773807525634766,0.030649498105049133,0.036761097609996796,0.08694618195295334,0.13715806603431702,0.1621907353401184,0.2480093389749527,0.3535824418067932,0.5061914920806885,0.8564051985740662,0.953035295009613,0.9893577098846436
Image_77,n01629819,"European fire salamander, Salamandra salamandra",0.08494839072227478,0.03493514657020569,0.02852274477481842,0.07309141755104065,0.13627855479717255,0.1931498497724533,0.25954002141952515,0.3715651333332062,0.519097089767456,0.8456091284751892,0.9364539384841919,0.989264965057373
Image_78,n01629819,"European fire salamander, Salamandra salamandra",0.041063208132982254,-0.005414813756942749,-4.75272536277771e-05,0.04747974872589111,0.09345972537994385,0.14756247401237488,0.19429700076580048,0.27907076478004456,0.44937068223953247,0.8099450469017029,0.9309548139572144,0.9901792407035828
Image_79,n01629819,"European fire salamander, Salamandra salamandra",0.08793708682060242,0.049905113875865936,0.047305431216955185,0.07810875028371811,0.11594753712415695,0.16114124655723572,0.2164781242609024,0.2844216823577881,0.44058769941329956,0.754181981086731,0.89878249168396,0.9885971546173096
Image_80,n01629819,"European fire salamander, Salamandra salamandra",0.0633535385131836,0.007831208407878876,0.013384789228439331,0.057564783841371536,0.10292292386293411,0.14968128502368927,0.21919573843479156,0.3214895725250244,0.48767632246017456,0.7989041805267334,0.9186944961547852,0.990028977394104
Image_81,n01629819,"European fire salamander, Salamandra salamandra",0.09048368781805038,0.04641609638929367,0.0325198620557785,0.06425833702087402,0.12249806523323059,0.20036014914512634,0.26524823904037476,0.36733871698379517,0.5314297080039978,0.8261555433273315,0.9221853017807007,0.988487184047699
Image_82,n01629819,"European fire salamander, Salamandra salamandra",0.060592956840991974,0.04383454471826553,0.012838006019592285,0.04256627336144447,0.09691202640533447,0.16374874114990234,0.22230276465415955,0.3018413484096527,0.4844411313533783,0.8323051333427429,0.9382248520851135,0.9893882870674133
Image_83,n01629819,"European fire salamander, Salamandra salamandra",0.1368732452392578,0.07029449939727783,0.07351545989513397,0.12653213739395142,0.1763923168182373,0.23428039252758026,0.3200819492340088,0.3915369212627411,0.548769474029541,0.8628941774368286,0.9525197744369507,0.9872236251831055
