class,layer,change_rate,type,rank
beaker,2,-inf,least_critical,1
beaker,5,-inf,least_critical,2
beaker,7,-inf,least_critical,3
beer bottle,22,0.3054570594523102,critical,1
beer bottle,21,0.20965415163314904,critical,2
beer bottle,23,0.13009958573617042,critical,3
beer bottle,2,-inf,least_critical,1
beer bottle,7,-inf,least_critical,2
beer bottle,8,-inf,least_critical,3
"bikini, two-piece",23,0.2187567372247577,critical,1
"bikini, two-piece",20,0.05865941608091816,critical,2
"bikini, two-piece",21,0.009716345756314707,critical,3
"bikini, two-piece",1,-inf,least_critical,1
"bikini, two-piece",2,-inf,least_critical,2
"bikini, two-piece",4,-inf,least_critical,3
"binoculars, field glasses, opera glasses",23,0.27414013450477803,critical,1
"binoculars, field glasses, opera glasses",22,0.04178846078444963,critical,2
"binoculars, field glasses, opera glasses",21,0.0042624435101549524,critical,3
"binoculars, field glasses, opera glasses",2,-inf,least_critical,1
"binoculars, field glasses, opera glasses",5,-inf,least_critical,2
"binoculars, field glasses, opera glasses",11,-inf,least_critical,3
birdhouse,22,0.2878637486463413,critical,1
birdhouse,23,0.15165208742662795,critical,2
birdhouse,20,0.13641453784308402,critical,3
birdhouse,1,-inf,least_critical,1
birdhouse,4,-inf,least_critical,2
birdhouse,5,-inf,least_critical,3
"bow tie, bow-tie, bowtie",21,0.06213344572051938,critical,1
"bow tie, bow-tie, bowtie",23,0.06147059559822082,critical,2
"bow tie, bow-tie, bowtie",22,0.05295665478653977,critical,3
"bow tie, bow-tie, bowtie",1,-inf,least_critical,1
"bow tie, bow-tie, bowtie",2,-inf,least_critical,2
"bow tie, bow-tie, bowtie",4,-inf,least_critical,3
"brass, memorial tablet, plaque",23,0.37420428887820895,critical,1
"brass, memorial tablet, plaque",22,0.007271042771682796,critical,2
"brass, memorial tablet, plaque",21,0.006357086540970861,critical,3
"brass, memorial tablet, plaque",2,-inf,least_critical,1
"brass, memorial tablet, plaque",4,-inf,least_critical,2
"brass, memorial tablet, plaque",5,-inf,least_critical,3
broom,22,0.15887198215350512,critical,1
broom,23,0.09316257350641532,critical,2
broom,21,0.06404161968966948,critical,3
broom,1,-inf,least_critical,1
